Номер заключения;Дата;Наименование узла;Титул;Номер линии;Номер чертежа;Категория трубопровода;Заключения по стыкам;Лаборатория;файл;оригинал;кол-во страниц;страница;страница общ
YMT-NS-067-11132-2;03.10.2019;P1Y28707;4.1.8.11.219;2-11-942028;0055-4.1.8.11.219-TM.IS-0626;B-I/V-I;"=ГИПЕРССЫЛКА(""./table_data/АктВИК_стр_27_Заключения по стыкам.csv"";"""")";"ООО ""НОВА-СПЕКТР""";"АктВИК_S2.7.pdf";"2-110-942002-01B-03.pdf";1;27;27
YMT-NS-1233-VT-116937;17.09.2020;P1Y28706;4.1.8.11.219;2-11-942028;0055-4.1.8.11.219-TM.IS-0626;B-I/V-I;"=ГИПЕРССЫЛКА(""./table_data/АктВИК_стр_33_Заключения по стыкам.csv"";"""")";"ООО ""НОВА-СПЕКТР""";"АктВИК_F2.6RW.pdf";"2-110-942002-01B-03.pdf";1;33;33
YMT-NS-1233-VT-116938;17.09.2020;P1Y28707;4.1.8.11.219;2-11-942028;0055-4.1.8.11.219-TM.IS-0626;B-I/V-I;"=ГИПЕРССЫЛКА(""./table_data/АктВИК_стр_39_Заключения по стыкам.csv"";"""")";"ООО ""НОВА-СПЕКТР""";"АктВИК_F2.8RW.pdf";"2-110-942002-01B-03.pdf";1;39;39
YMT-NS-1233-VT-116940;17.09.2020;P1Y28707;4.1.8.11.219;2-11-942028;0055-4.1.8.11.219-TM.IS-0626;B-I/V-I;"=ГИПЕРССЫЛКА(""./table_data/АктВИК_стр_45_Заключения по стыкам.csv"";"""")";"ООО ""НОВА-СПЕКТР""";"АктВИК_F2.10RW.pdf";"2-110-942002-01B-03.pdf";1;45;45
YMT-RUST-0014N-VT-7736;24.01.2022;P1Y28707;4.1.8.11.219;2-11-942028;0055-4.1.8.11.219-TM.IS-0626;B-I/V-I;"=ГИПЕРССЫЛКА(""./table_data/АктВИК_стр_51_Заключения по стыкам.csv"";"""")";ООО «A6OPATOPил PYCTEX»  LLC «LABORATORY RUSTECH» ;"АктВИК_F2.9RW.pdf";"2-110-942002-01B-03.pdf";1;51;51
YMT-NS-070-3986-1;07.10.2019;P1Y29205;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;B-I/V-I;"=ГИПЕРССЫЛКА(""./table_data/АктВИК_стр_67_Заключения по стыкам.csv"";"""")";"ООО ""НОВА-СПЕКТР""";"АктВИК_S1.1.pdf";"2-110-942002-01B-03.pdf";1;67;67
YMT-NS-070-3969-1;07.10.2019;P1Y29207;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;B-I/V-I;"=ГИПЕРССЫЛКА(""./table_data/АктВИК_стр_73_Заключения по стыкам.csv"";"""")";"ООО ""НОВА-СПЕКТР""";"АктВИК_S1.6.pdf";"2-110-942002-01B-03.pdf";1;73;73
NPGT1271-21609-VT;28.01.2022;P1Y29205;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;B-I/V-I;"=ГИПЕРССЫЛКА(""./table_data/АктВИК_стр_79_Заключения по стыкам.csv"";"""")";"ООО ""Технопром Инжиниринг""";"АктВИК_2.pdf";"2-110-942002-01B-03.pdf";1;79;79
NPGT1271-21611-VT;19.01.2021;P1Y29205;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-;B-I/V-I;"=ГИПЕРССЫЛКА(""./table_data/АктВИК_стр_85_Заключения по стыкам.csv"";"""")";"ООО ""Технопром Инжиниринг""";"АктВИК_F114.pdf";"2-110-942002-01B-03.pdf";1;85;85
YMT-RUST-0015-VT-8184;20.01.2022;P1Y29205;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;"Kaтeгopивлтpубonпpoвoдa/Categoryofpipeline""B-I/V-I";"=ГИПЕРССЫЛКА(""./table_data/АктВИК_стр_91_Заключения по стыкам.csv"";"""")";ООО «A6EOPATOPиA PYCTEX»  LLC «LABORATORY RUSTECH» ;"АктВИК_F1.2RW.pdf";"2-110-942002-01B-03.pdf";1;91;91
YMT-RUST-0015-VT-8197;20.01.2022;P1Y29205;4.1.8.11.219;2-11-942029;Homepuepтeнa/Drawingnumber-0055-4.1.8.11.219-TM.IS-0627;"Kaтeгopиптpуyбoпpoвoдa/Categoryofpipeline""B-I/V-I";"=ГИПЕРССЫЛКА(""./table_data/АктВИК_стр_97_Заключения по стыкам.csv"";"""")";Haиmeнoвaниe пaбopaтopии / Name of the laboratory.  OООО «NA6OPATOPил PYCTEX»  LLC «LABORATORY RUSTECH» ;"АктВИК_F1.13.pdf";"2-110-942002-01B-03.pdf";1;97;97
YMT-RUST-0015-VT-8185;20.01.2022;P1Y29205;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;Kaтeгopивтpyбonpoвoдa/CategoryofpipelineB-I/V-I;"=ГИПЕРССЫЛКА(""./table_data/АктВИК_стр_103_Заключения по стыкам.csv"";"""")";OООО «GAEOPATOPиAл PYCTEX»  LLC «LABORATORY RUSTECH» ;"АктВИК_F1.11.pdf";"2-110-942002-01B-03.pdf";1;103;103
YMT-RUST-0015-VT-8198;20.01.2022;P1Y29205;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;B-I/V-I;"=ГИПЕРССЫЛКА(""./table_data/АктВИК_стр_109_Заключения по стыкам.csv"";"""")";OООО «NAEOPATOPил PYCTвX»  LLC «LABORATORY RUSTECH» ;"АктВИК_F1-15.pdf";"2-110-942002-01B-03.pdf";1;109;109
YMT-RUST-0015-VT-8199;20.01.2022;P1Y29207;4.1.8.11.219;2-11-942029;Hoнepuepтeнa/Drawingnumber-0055-4.1.8.11.219-TM.IS-0627;Kaтeгopилтpубoпpoвoдa/CategoryofpipelineB-I/V-I;"=ГИПЕРССЫЛКА(""./table_data/АктВИК_стр_115_Заключения по стыкам.csv"";"""")";HaиMmeнoвaниe пaбopaтopии / Name of the laboratory  OООО «NA6OPATOPил PYCTEX»  LLC «LABORATORY RUSTECH» ;"АктВИК_F1.17.pdf";"2-110-942002-01B-03.pdf";1;115;115
YMT-RUST-0015-VT-8200;20.01.2022;P1Y29207;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;B-I/V-I;"=ГИПЕРССЫЛКА(""./table_data/АктВИК_стр_121_Заключения по стыкам.csv"";"""")";ООО «A6OPATOPил PYCTEX»  LLC «LABORATORY RUSTECH» ;"АктВИК_F1.18.pdf";"2-110-942002-01B-03.pdf";1;121;121
YMT-RUST-0015-VT-8201;20.01.2022;P1Y29207;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;B-I/V-I;"=ГИПЕРССЫЛКА(""./table_data/АктВИК_стр_127_Заключения по стыкам.csv"";"""")";ООО «NAEOPATOPиA PYСTEX»  LLC «LABORATORY RUSTECH» ;"АктВИК_F1.21.pdf";"2-110-942002-01B-03.pdf";1;127;127
