Номер заключения;Дата;Наименование узла;Титул;Номер линии;Номер чертежа;Категория трубопровода;Номер сварного соединения;Размер свариваемых элементов;Клеймо сварщика;Заключение;Лаборатория;Файл;Оригинал;Кол-во страниц;Страница;Страница общ
SAKYEE NN / RDED/ DT N YMT-NS-67-NSPT-13257;03.10.2019;P1Y28707;4.1.8.11.219;2-11-942028;0055-4.1.8.11.219-TM.IS-0626;V-I;S27;60.3x8.74+60.3x8.74;8CKV;гoдeн/appropriate;"ООО ""НОВА-СПЕКТР""";Заключение ПВК_011_167461.pdf;2-110-942002-01B-03.pdf;1;29;000029
;17.09.2020;P1Y28706;4.1.8.11.219;2-11-942028;0055-4.1.8.11.219-TM.IS-0626;V-I;F26RW;60.3x8.74+60.3x8.74;8FZL;oдeн/ppropriate;"ООО ""Технопром Инжиниринг""";Заключение ПВК_011_167464.pdf;2-110-942002-01B-03.pdf;1;35;000035
;17.09.2020;P1Y28707;4.1.8.11.219;2-11-942028;0055-4.1.8.11.219-TM.IS-0626;V-I;F2.8RW;60.3x8.74+60.3x8.74;8FZL;oдeн/ppropriate;"ООО ""Технопром Инжиниринг""";Заключение ПВК_011_167467.pdf;2-110-942002-01B-03.pdf;1;41;000041
;17.09.2020;P1Y28707;4.1.8.11.219;2-11-942028;0055-4.1.8.11.219-TM.IS-0626;V-I;F2.10RW;60.3x8.74+60.3x8.74;"O3IOOOCOC;KOMTKOHTPO8FZLO3AK2OKOHTDOKCT6II;H2OS5";oдeн/ppropriate;"ООО ""Технопром Инжиниринг""";Заключение ПВК_011_167470.pdf;2-110-942002-01B-03.pdf;1;47;000047
YMT-RUST-0014N-PT-7739;24.01.2022;P1Y28707;4.1.8.11.219;2-11-942028;HDWU-0055-4.1.8.11.219-TM.IS-0626;V-I;F2.9RW;60.3x8.74+60.3x8.74;8FZL;гoдeн/appropriate;HaиMmeнoвaниe пaбopaтopии / Name of the laboratory OООО «NAEOPATOPил PYCTEX» LLC «LABORATORY RUSTECH»;Заключение ПВК_011_167473.pdf;2-110-942002-01B-03.pdf;1;53;000053
SAKYE N / DED/IDT YMT-NS-070-886-1;07.10.2019;P1Y29205;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;V-I;S1.1;60.3x8.74+60.3x8.74;8CKV;гoдeн/appropriate;"ООО ""НОВА-СПЕКТР""";Заключение ПВК_011_167476.pdf;2-110-942002-01B-03.pdf;1;69;000069
SAKYE N / DED/IDT - YMT-NS-070-871-1;07.10.2019;P1Y29207;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;V-I;S1.6;60.3x8.74+60.3x8.74;9VK9;гoдeн/appropriate;"ООО ""НОВА-СПЕКТР""";Заключение ПВК_011_167479.pdf;2-110-942002-01B-03.pdf;1;75;000075
;28.01.2022;P1Y29205;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;V-I;F1.12;60.3x8.74+60.3x8.74;9L57;oдeн/ppropriate;"ООО ""Технопром Инжиниринг""";Заключение ПВК_011_167482.pdf;2-110-942002-01B-03.pdf;1;81;000081
;19.01.2021;P1Y29205;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;V-I;F1.14;60.3x8.74+60.3x8.74;A9BX;oдeн/ppropriate;"ООО ""Технопром Инжиниринг""";Заключение ПВК_011_167485.pdf;2-110-942002-01B-03.pdf;1;87;000087
YMT-RUST-0015-PT-8220;20.01.2022;P1Y29205;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;V-I;F1.2RW;60.3x8.74+60.3x8.74;A9BX;гoдeн/appropriate;OООО «NA6OPATOPил PуCTEX» LLC «LABORATORY RUSTECH»;Заключение ПВК_011_167488.pdf;2-110-942002-01B-03.pdf;1;93;000093
