№ Заключения;Дата;Титул;Номер линии;Номер чертежа;Категория трубопровода;Наименование технологического узла;Номер СС;Размер свариваемых элементов;Клеймо сварщика;Сегменты;Заключения;Печать;Лаборатория;Файл;Оригинал;Кол-во страниц;Страница;Страница общ
RT0167-4794;06.12.2019;4.1.8.11.219;2-11-942028;0055-4.1.8.11.219-TM.IS-0626;V-I;P1Y28707;S2.7;60.3x8.74+60.3x8.74;8CKV;ш 14;гoдeн/appropriate;да;"ООО ""Альфа"" / 11.С ""Аа""";Заключение РТ_011_167462.pdf;2-110-942002-01B-03.pdf;1;31;000031
YMT-P1-ALP-0037N-RT-3085;24.01.2022;;2-11-942028;0055-4.1.8.11.219-TM.IS-0626;;P1Y28707;F2.9RW;60.3x8.74+60.3x8.74;8FZL;= — - ——;гoдeн/appropriate;да;ООО «АВТО ЛИДЕР ПЕРМЬ» Laboratory NDT «AVTO LIDER PERM»;Заключение РТ_011_167474.pdf;2-110-942002-01B-03.pdf;1;55;000055
YMT-NS-1147-RT-17044;04.12.2020;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;V-I;P1Y29205;S1.1;60.3x8.74+60.3x8.74;8CKV;— ——=;гoдeн/appropriate;да;ООО «НОВА-СПЕКТР» Г абогаогу МОТ «МОМА-ЗРЕСТКВ»;Заключение РТ_011_167477.pdf;2-110-942002-01B-03.pdf;1;71;000071
TT0681-41023;08.10.2019;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM-IS-0627;V-I;P1Y29207;S1.6;60.3x8.7460.3x8.74;9VK9;;Гoдeн/Appropriate;да;"?ООО ""НГС-ЭКСПЕРТ""";Заключение РТ_011_167480.pdf;2-110-942002-01B-03.pdf;1;77;000077
YMT-P1-ALP-0046N-RT-3206;28.01.2022;;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;;P1Y29205;F1.12;60.3x8.74+60.3x8.74;9L57;— =;гoдeн/appropriate;да;ООО «АВТО ЛИДЕР ПЕРМЬ» Laboratory NDT «AVTO LIDER PERM»;Заключение РТ_011_167483.pdf;2-110-942002-01B-03.pdf;1;83;000083
YMT-P1-ALP-0033-RT-2936;20.01.2022;;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;;P1Y29205;F1.2RW;60.3x8.74+60.3x8.74;A9BX;;годен/appropriate;да;ООО «АВТО ЛИДЕР ПЕРМЬ» Laboratory NDT «AVTO LIDER PERM»;Заключение РТ_011_167489.pdf;2-110-942002-01B-03.pdf;1;95;000095
YMT-P1-ALP-0033-RT-2934;20.01.2022;;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;V-I;P1Y29205;F1.13;60.3x8.74+60.3x8.74;A9BX;;гoдeн/appropriate;да;ООО «АВТО ЛИДЕР ПЕРМЬ» Laboratory NDT «AVTO LIDER PERM»;Заключение РТ_011_167492.pdf;2-110-942002-01B-03.pdf;1;101;000101
YMT-P1-ALP-0035-RT-2971;21.01.2022;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;V-I;P1Y29205;F1.11;60.3x8.74+60.3x8.74;A9BX;—-—;гoдeн/appropriate;да;ООО «АВТО ЛИДЕР ПЕРМЬ» Laboratory NDT «AVTO LIDER PERM»;Заключение РТ_011_167495.pdf;2-110-942002-01B-03.pdf;1;107;000107
YMT-P1-ALP-0033-RT-2937;20.01.2022;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;V-I;P1Y29205;F1.15;60.3x8.74+60.3x8.74;A9BX;;гoдeн/appropriate;да;Наименование лаборатории / Мате о! {Не laboratory. ООО «АВТО ЛИДЕР ПЕРМЬ» Laboratory NDT «AVTO LIDER PERM»;Заключение РТ_011_167498.pdf;2-110-942002-01B-03.pdf;1;113;000113
YMT-P1-ALP-0035-RT-2964;21.01.2022;;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;;P1Y29207;7;60.3x8.74+60.3x8.74;A9BX;;гoдeн/appropriate;да;Наименование лаборатории / Мате of the laboratory- ООО «АВТО ЛИДЕР ПЕРМЬ» Laboratory NDT «AVTO LIDER PERM»;Заключение РТ_011_167501.pdf;2-110-942002-01B-03.pdf;1;119;000119
YMT-P1-ALP-0035-RT-2966;21.01.2022;;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;;P1Y29207;F1.18;60.3x8.74+60.3x8.74;A9BX;;гoдeн/appropriate;да;ООО «АВТО ЛИДЕР ПЕРМЬ» Laboratory NDT «AVTO LIDER PERM»;Заключение РТ_011_167504.pdf;2-110-942002-01B-03.pdf;1;125;000125
YMT-P1-ALP-0035-RT-2965;21.01.2022;;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;;P1Y29207;F1.21;60.3x8.74+60.3x8.74;A9BX;;гoдeн/appropriate;да;ООО «АВТО ЛИДЕР ПЕРМЬ» Laboratory NDT «AVTO LIDER PERM»;Заключение РТ_011_167507.pdf;2-110-942002-01B-03.pdf;1;131;000131
YMT-P1-ALP-0033-RT-2935;20.01.2022;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;V-I;P1Y29205;F1.16;60.3x8.74+60.3x8.74;A9BX;;гoдeн/appropriate;да;ООО «АВТО ЛИДЕР ПЕРМЬ» Laboratory NDT «AVTO LIDER PERM»;Заключение РТ_011_167510.pdf;2-110-942002-01B-03.pdf;1;137;000137
YMT-P1-ALP-0036N-RT-3014;22.01.2022;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;V-I;P1Y29207;F1.19;33.4x4.55+33.4x4.55;A9BX;- =;гoдeн/appropriate;да;ООО «АВТО ЛИДЕР ПЕРМЬ» Laboratory NDT «AVTO LIDER PERM»;Заключение РТ_011_167513.pdf;2-110-942002-01B-03.pdf;1;143;000143
YMT-P1-ALP-0035-RT-2967;21.01.2022;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;V-I;P1Y29207;F1.20;33.4x4.55+33.4x4.55;A9BX;;гoдeн/appropriate;да;ООО «АВТО ЛИДЕР ПЕРМЬ» Laboratory NDT «AVTO LIDER PERM»;Заключение РТ_011_167516.pdf;2-110-942002-01B-03.pdf;1;149;000149
